"","Source","Title","Narrative","Date"
"7489","Sun Sentinel","Arian Campo-Flores | Photographs by","It was about five days until Matt Webster-Rodriguez heard from his mother following Hurricane Maria's devastating hit to Puerto Rico. Webster-Rodriguez, Market ...",2017-10-13
"7490","The Hill","Puerto Rico, by the numbers","San Juan—As Donald Trump's rule-by-disinformation strategy intensifies, three weeks after Hurricane Maria, a reeling Puerto Rico is becoming more of a ...",2017-10-13
"7491","Delmarva Daily Times","Puerto Rico still in the dark three weeks after Hurricane Maria ...","AGUADA, Puerto Rico—The evening before Hurricane Maria tore across Puerto Rico, Sonia Negr<f3>n Bell called her elderly parents on the island's northwestern ...",2017-10-13
"7492","The Nation.","A fire department in Puerto Rico is now powered by solar: 'It's a ...","Exactly one month after Hurricane Maria first made landfall in Puerto Rico, the island is still far from recovered. 78% of the island is still without power, 28% is ...",2017-10-13
"7493","Wall Street Journal","Infrastructure And Energy Outlook: Reflecting On Harvey And Puerto ...","Hurricane Maria struck Puerto Rico on Sept. 20 and, according to the latest figures from the island government, killed at least 45 people. It also created a new ...",2017-10-13
"7494","Axios","As Puerto Rican hurricane debris rots, experts fear looming health ...","An American solar company installs solar-powered microgrids at a San Juan fire station that had been relying on a diesel generator. The 4 kilowatt solar array ...",2017-10-13
"7495","Los Angeles Times","Trump says he will 'always be' with 'wonderful people of Puerto Rico'","While the rest of the muni market has performed well, Puerto Rico is a complicated story that won't go away anytime soon. Due to their tax advantages and ...",2017-10-13
"7496","CNBC","ARRL 2018 Puerto Rico State Convention Cancelled","Three weeks after Hurricane Maria ransacked this island leaving at least 44 dead, Jose Vargas surveyed street after street lined with mounds of soaking ...",2017-10-13
"7497","Seeking Alpha","Puerto Rico: Paul Ryan says US committed ""for the long haul""","A day after suggesting he would pull federal aid from hurricane-ravaged Puerto Rico, President Donald Trump tried Friday to provide assurance that he will ...",2017-10-13
"7498","Miami Herald","Trump backs off threat to limit aid to Puerto Rico after backlash","The Organizing Committee for the 2018 ARRL Puerto Rico State Convention has announced the cancellation of the 2018 convention, set for January 26-28, ...",2017-10-13
"7499","ABC News","Disaster Relief Workers in Puerto Rico Treat Themselves to ...","(CNN) House Speaker Paul Ryan on Friday promised additional funding for Puerto Rico's long-term rebuilding and said the United States was committed to the ...",2017-10-13
"7500","ARRL","LETTERS: Trump's response to crisis in Puerto Rico an utter failure","President Trump on Friday backtracked from his threat a day earlier to limit federal assistance to Puerto Rico, saying that the United States would help all states ...",2017-10-13
"7501","CNN","Trump to hurricane-ravaged Puerto Rico: We're not staying forever","A veteran doctor has alleged that federal disaster relief workers in Puerto Rico brought in locals to treat them to manicures and pedicures. The incident was so ...",2017-10-13
"7502","Los Angeles Times","A Reflection on Moshe Safdie's Uncompleted Habitat Puerto Rico","Francisco Zamoro, 69, starts repairing his destroyed home in Jayuya on Thursday, three weeks after Hurricane Maria hit Puerto Rico. He said FEMA has not ...",2017-10-13
"7503","The Root","Trump: 'We'll Be There' for Puerto Rico, a Day After Critical Messages","So it was galling to read Trump's Thursday morning tweets about Puerto Rico, a U.S. territory, not a private business, ravaged by Hurricane Maria. The president ...",2017-10-13
"7504","Chicago Sun-Times","Wright Patt: Puerto Rican engineer embraces opportunity, mentorship","“He spent the decade after Expo designing versions of Habitat, for Washington, New York, Rochester, Baltimore, Jerusalem, and San Juan, Puerto Rico,” wrote ...",2017-10-13
"7505","USA TODAY","Puerto Rico Air National Guard Helps to Build 'Air Bridge'","WASHINGTON — President Trump sought to reassure Puerto Rico on Friday that he was not abandoning the hurricane-ravaged island, shifting his message a ...",2017-10-13
"7506","ARCHITECT Magazine","Puerto Rico Volunteer Aids Burn Victim, Contacts Family via Ham ...","Miguel Maldonado, Air Force Research Laboratory Fuels and Energy branch chief, poses with his grandchildren prior to performing at the 7th annual Hispanic ...",2017-10-13
"7507","New York Times","Dogs from Puerto Rico arrive at Animal Refuge League","SAN JUAN, Puerto Rico, Oct. 13, 2017 — For all the airlift missions that the pilots and the loadmasters of the 198th Airlift Squadron have planned over the years, ...",2017-10-13
"7508","Dayton Daily News","Trump offers support to Puerto Rico, but says residents 'know how ...","“We had a stressful night on the island!” That's how Puerto Rico volunteer Jeremy Dougherty, NS0S, described a medical emergency on the island of Culebra in ...",2017-10-13
"7509","Department of Defense","Trump calls Puerto Ricans 'wonderful'; reprises comments on ...","Katie Webber, a canine animal care staffer at the Animal Refuge League, gets Borys out for a little exercise after he made the long trip from Puerto Rico with 24 ...",2017-10-13
"7510","ARRL","José Andrés Is Serving 97000 Meals Per Day in Puerto Rico","WASHINGTON (AP) — President Donald Trump is assuring residents of hurricane-ravaged Puerto Rico that he ''will always be with them.'' His tweet Friday ...",2017-10-13
"7511","Press Herald","Trump botches reference to 'president' of Virgin Islands a day after ...","WASHINGTON (Reuters) - President Donald Trump praised Puerto Rico's people on Friday, calling them “wonderful” and having an “unmatched spirit” as the ...",2017-10-13
"7512","The Boston Globe","62% say Puerto Ricans aren't getting the help they need","Nearly three weeks after landing in Puerto Rico to support those affected by Hurricane Maria, Washington, D.C.-based chef José Andrés is feeding people in the ...",2017-10-13
"7513","Reuters","'Get Us Out Of Here': Amid Broken Infrastructure, Puerto Ricans Flee ...","During a House Energy and Commerce subcommittee hearing Thursday, Energy Secretary Rick Perry mistakenly referred to Puerto Rico as a country while ...",2017-10-13
"7514","Eater","Houston's Sunnova delivering power to Puerto Rico","Washington (CNN) More than six in 10 Americans say that Puerto Rico isn't getting the help they need and a majority says the federal government hasn't been ...",2017-10-13
"7515","Washington Post","A day after criticism, Trump offers support to Puerto Rico","Luis Cruz and Esther Gomez had always considered moving to Florida from Puerto Rico. The weather and proximity made it an ideal destination; plus, the ...",2017-10-13
"7516","CNN","Pentagon accidentally included reporter in Puerto Rico spin talks","Sunnova CEO John Berger, left, talks with Puerto Rican Gov. Ricardo Rosselló about his Houston-based companies effort with solar and battery systems to ...",2017-10-13
"7517","NPR","""Just get it done"": Soldier, Puerto Rico native goes extra mile for ...","He took a softer tone on Friday, saying that ""the wonderful people of Puerto Rico"" have an ""unmatched spirit."" He tweeted, ""I will always be with them!"".",2017-10-13
"7518","Houston Chronicle","These Volunteer Nurses In Puerto Rico Fear FEMA Is Failing","Officials at the Department of Defense and the Federal Emergency Management Agency (FEMA) accidentally included a Bloomberg climate reporter on an ...",2017-10-13
"7519","ABC News","For Puerto Rico's Sake, Scrap the Jones Act","A woman he knew from Puerto Rico hadn't heard from her mother in 10 days. Her mother, Luz Milagros Santana-Rodriguez, lived in the area around Humacao, ...",2017-10-13
"7520","The Hill","Rockland restaurant owner's mother arrives safely from Puerto Rico","Puerto Rican resident Yanira Rios collects spring water nearly three weeks after Hurricane Maria destroyed her town of Utuado, which still has little running ...",2017-10-13
"7521","United States Army (press release)","Trump tries to reassure Puerto Rico after threatening to cut disaster ...","With the nearly century-old Jones Act put back in force, battered Puerto Rico's future just got even darker. The Department of Homeland Security's decision to ...",2017-10-13
"7522","HuffPost","Trump says Puerto Ricans are 'wonderful,' have 'unmatched spirit'","SPARKILL - Isabel Pujol-Santini stood inside the kitchen of Roost restaurant on Thursday cutting the thick, tough skins off plantains with the ease that comes with ...",2017-10-13
"7523","Bloomberg","Five Must-Read Articles On Puerto Rico's Uncertain Future","A day after warning Puerto Rico that the federal response on the hurricane-ravaged island won't last “forever,” President Trump on Friday tweeted a message of ...",2017-10-13
"7524","The Journal News | LoHud.com","Puerto Rico vs. Florida and Texas","WASHINGTON (Reuters) - U.S. President Donald Trump praised the people of Puerto Rico on Friday, calling them “wonderful” and praising their “unmatched ...",2017-10-13
"7525","New York Post","Trump on Puerto Rico: 'I will always be with them!'","Only 11.7 percent of Puerto Rico's electricity has been restored and some residents are going to the river to wash clothes, gather water, cool off, or bathe.",2017-10-13
"7526","Reuters","Statement by FDA Commissioner Scott Gottlieb, MD on Baxter ...","Residents affected by Hurricane Maria waiting in line for fuel donated by the Fuel Relief Fund in the municipality of Orocovis, outside San Juan, Puerto Rico.",2017-10-13
"7527","Forbes","The Crowdsourced Maps Guiding Puerto Rico's Recovery","Washington (CNN) President Donald Trump sought Friday to repair political damage over his handling of the crisis in Puerto Rico, tweeting that he ""will always ...",2017-10-13
"7528","New York Times","Private companies help Puerto Rico while America is slow to offer aid","Since Hurricanes Irma and Maria devastated the island of Puerto Rico, the FDA has been working closely with Baxter and other companies to reduce the risk of ...",2017-10-13
"7529","CNN","Puerto Rico Symphony Orchestra To Perform In Maria's Wake 'For ...","Almost three weeks after Hurricane Maria hit Puerto Rico, the island is in a grim state. Fewer than 15 percent of residents have power, and much of the island ...",2017-10-13
"7530","FDA.gov","The Man Who Could Save Puerto Rico, If He Feels Like It","In the midst of one of its worst humanitarian crisis, the island of Puerto Rico was at the mercy of American aid funding until Sonnen and Tesla came in to help.",2017-10-13
"7531","WIRED","Rick Perry Mistakenly Calls Puerto Rico A Country","SAN JUAN, Puerto Rico — It's an understatement to say there hasn't been much to celebrate here since Hurricane Maria devastated the island three weeks ago.",2017-10-13
"7532","Deutsche Welle","Puerto Rico Looks to Alphabet's X Project Loon Balloons to Restore ...","President Donald Trump and first lady Melania Trump walk to Air Force One before departing from Luis Muñiz Air National Guard Base in Carolina, Puerto Rico, ...",2017-10-13
"7533","WBUR","Puerto Rico's troubles are far from over. The population's health is at ...","Energy Secretary Rick Perry had yet another “oops” moment after he referred to Puerto Rico, a U.S. territory, as as a country.",2017-10-13
"7534","Slate Magazine","In Puerto Rico, These Volunteers Are Dropping Supplies By Parachute","Alphabet's X ""moonshot factory"" received permission from the U.S. FCC to deploy Project Loon in Puerto Rico. Credit: iLighter Flickr (CC by SA 2.0).",2017-10-13
"7535","HuffPost","Puerto Rico Needs 50000 Utility Poles","putting Puerto Rico on notice that federal relief workers may be recalled. But the images of the physical devastation from Hurricanes Irma and Maria throughout ...",2017-10-13
"7536","Scientific American","Affordable Care Act, Puerto Rico, Chicago Cubs: Your Friday Briefing","Three weeks after Hurricane Maria devastated Puerto Rico, aid workers are still struggling to deliver supplies like water and medicine–and if bad roads, fuel ...",2017-10-13
"7537","Washington Post","Federal disaster aid for Puerto Rico isn't foreign aid — but Trump ...","Rebuilding the Puerto Rico Electric Power Authority's electric grid will require over 50,000 utility poles. With enough cable to stretch from San Diego to Boston ...",2017-10-13
"7538","Fast Company","What Does Being A US Territory Mean For Puerto Rico?","“Our country will stand with those American citizens in Puerto Rico until the job is done,” the White House Chief of Staff, John Kelly, said. Want to hear about how ...",2017-10-13
"7539","Forbes","OnPolitics Today: As Trump threatens Puerto Rico's aid, the House ...","Puerto Rico was back in the news Thursday — this time because of a series of tweets from President Trump that “Electric and all infrastructure was disaster ...",2017-10-13
"7540","New York Times","Who will rebuild Puerto Rico as young professionals leave island ...","In one tweet he reminded everyone that Puerto Rico's ""electric and all infrastructure was disaster before hurricanes."" In the next one he blamed Puerto Rico for ...",2017-10-13
"7541","Washington Post","Readers sound off on Puerto Rico, the Boy Scouts and Al Sharpton","More than 80% of Puerto Rico remains without power after last month's hurricanes. Still, President Trump, who by his own account has ""a big heart,"" took to ...",2017-10-13
"7542","NPR","Florida should help protect Puerto Ricans' voting rights","SAN JUAN, Puerto Rico — A graduate student here plans to abandon her thesis project and seek a doctorate in psychology at Stanford or the University of ...",2017-10-13
"7543","USA TODAY","Carlos Beltran: If Puerto Rico doesn't get help, 'people are gonna die'","Woodside: President Trump tweeted Thursday that we can't keep helping Puerto Rico. We have spent $4.2 trillion dollars on Afghanistan. We do not have a lot to ...",2017-10-13
"7544","USA TODAY","Why the White House Requested a $5 Billion Loan for Puerto Rico","Hurricane Maria struck Puerto Rico 2 weeks ago, creating devastating damage and a humanitarian crisis for 3.5 million U.S. citizens. Today, 88 percent of Puerto ...",2017-10-13
"7545","New York Daily News","Team of traveling doctors helps Puerto Ricans cut off from care","“If they want it to disappear, then Puerto Rico is gonna disappear,” Beltran said. “People are gonna die. I don't think that's gonna happen. There's no power, no ...",2017-10-13
"7546","Miami Herald","Trump hints at ending aid as Puerto Ricans forced to drink polluted ...","Mirian Medina stands on her property about two weeks after Hurricane Maria swept through the island on October 5, 2017, in San Isidro, Puerto Rico.",2017-10-12
"7547","New York Post","As Others See It: Ease the misery in Puerto Rico","Yabucoa, Puerto Rico (CNN) The waves from the Caribbean Sea crash on the shore right beneath the back window of Irma Torres' concrete-walled home in ...",2017-10-12
"7548","New York Magazine","Exclusive tour of damage, relief operations in Puerto Rico","People affected by Hurricane Maria bathe in water piped in from a mountain creek, in Naranjito, Puerto Rico, amid concerns about islanders' exposure to ...",2017-10-11
"7549","The Denver Post","Trump hints at ending aid as Puerto Ricans forced to drink polluted ...","Mirian Medina stands on her property about two weeks after Hurricane Maria swept through the island on October 5, 2017, in San Isidro, Puerto Rico.",2017-10-12
"7550","New York Daily News","As Others See It: Ease the misery in Puerto Rico","Yabucoa, Puerto Rico (CNN) The waves from the Caribbean Sea crash on the shore right beneath the back window of Irma Torres' concrete-walled home in ...",2017-10-12
"7551","HuffPost","Exclusive tour of damage, relief operations in Puerto Rico","People affected by Hurricane Maria bathe in water piped in from a mountain creek, in Naranjito, Puerto Rico, amid concerns about islanders' exposure to ...",2017-10-12
"7552","Salt Lake Tribune","Trump lashes out at Puerto Rico as House passes aid package","It's been three weeks since Hurricane Maria made devastating landfall in Puerto Rico. Three weeks — and 84 percent of the population is still without power.",2017-10-12
"7553","New York Times","President Trump complains about Puerto Rico's hurricane ...","As Acting Secretary of the Army Ryan McCarthy reviewed operations in Puerto Rico on Thursday with officers and soldiers on the ground, ABC7's Leah Hope ...",2017-10-12
"7554","New York Post","Puerto Rico Governor Calls White House After Trump's Unsettling ...","A man gestures as he walks through a debris covered road as Hurricane Maria hits Puerto Rico in Fajardo, on Sept. 20, 2017. Maria made landfall on Puerto ...",2017-10-12
"7555","Deutsche Welle","Eugene Robinson: Abandoning Puerto Rico would be impeachable ...","He told residents of storm-ravaged Texas and Louisiana he'd be with them every day until they've rebuilt — and on Thursday, President Trump told residents of ...",2017-10-12
"7556","MLB.com","A Disaster in the White House for Puerto Rico","Puerto Rico Governor Calls White House After Trump's Unsettling FEMA Tweets ... “I got confirmation that that was not going to happen,” the Puerto Rican ...",2017-10-12
"7557","New York Daily News","3 days in Puerto Rico, and we saw FEMA once","President Donald Trump tosses paper towels into a crowd as he hands out supplies at Calvary Chapel, Tuesday, Oct. 3, 2017, in Guaynabo, Puerto Rico. Trump ...",2017-10-12
"7558","Los Angeles Times","Donald Trump lashes out at Puerto Rico as lawmakers approve ...","But did he really have to pick on the storm-ravaged American citizens of Puerto Rico, of all defenseless people, and reveal such a cold-hearted lack of empathy ...",2017-10-12
"7559","TheSpec.com","Amid postseason, Beltran's heart in Puerto Rico","SAN JUAN, PUERTO RICO — It's been more than three weeks since Hurricane Maria devastated Puerto Rico, but like so many islanders, Carmen Pantoja is still ...",2017-10-12
"7560","Newsday","New York State sends 78 doctors and other medical staffers to aid ...","US President Trump triggered a stinging response from Puerto Rico's mayor after he cast doubts over his will to help the devastated territory. The war of words ...",2017-10-12
"7561","New York Times","To the average investor, Puerto Rico debt crash is more of a ...","""Everyone knows the situation in Puerto Rico is very critical, and it has been 20-something days since the hurricane, and there are still people in need of water ...",2017-10-12
"7562","PBS NewsHour","Daily challenge in Puerto Rico: Finding enough bottled water to drink","ALBANY — As President Trump threatened Thursday to end federal relief efforts in Puerto Rico, a group of medical workers from New York headed to the ...",2017-10-12
"7563","Seeking Alpha","NYC schools preparing for influx of Puerto Rican evacuees","There was a time when investors couldn't get enough of Puerto Rico's bonds. They were the ultimate trifecta: triple, tax-exempt bonds. If you bought Puerto Rico ...",2017-10-12
"7564","PRI","Finding Water in Puerto Rico: An Endless Game of Cat and Mouse","A customer purchases bottled water at a Walmart in San Juan, Puerto Rico, Thursday. Three weeks since Hurricane Maria tore through Puerto Rico, finding ...",2017-10-12
"7565","Los Angeles Times","White House is committed to long-term Puerto Rico recovery despite ...","New York City's public school system is preparing for an influx of Puerto Rican evacuees whose families move north, Mayor Bill de Blasio said Thursday, calling ...",2017-10-12
"7566","New York Times","How To Wipe Out Puerto Rico's Debt Without Hurting Bondholders","Three weeks after Hurricane Maria tore through Puerto Rico, the challenge of finding enough water to drink and cook with remains enormous across the island, ...",2017-10-12
"7567","CBS News","Meet the women combing through Puerto Rico, searching for ...","Puerto Rico's painfully slow recovery from Hurricane Maria has alarmed the island's residents and become the subject of a political fight. President Trump ...",2017-10-12
"7568","Newsweek","Democrats, Puerto Ricans decry Trump's threatened pullback of ...","During his visit to hurricane-stricken Puerto Rico, President Donald Trump shocked the bond market when he told Geraldo Rivera of Fox News that he was going ...",2017-10-12
"7569","Washington Post","Trump Warns Storm-Ravaged Puerto Rico That Aid Won't Last ...","Mia Lind, Ghislaine Rivera, Janine Smalley and Katie Blanker — the VA team — are pictured from left to right. They're trying to find veterans in Puerto Rico who ...",2017-10-12
"7570","New York Times","Puerto Rican hospital without power struggles to treat patients","President Trump drew a sharp and dismayed backlash Thursday from Democratic lawmakers, activists and many Puerto Ricans with his threat to limit federal ...",2017-10-12
"7571","Washington Post","FEMA to Puerto Rico: Don't Listen to President Trump","Three weeks after a killer hurricane ravaged Puerto Rico, President Trump indicated on ... The tweets set off alarms in San Juan, the Puerto Rican capital, where ...",2017-10-12
"7572","The Boston Globe","Abandoning Puerto Rico would be an impeachable offense","CAN<d3>VANAS, Puerto Rico -- President Trump on Thursday put Puerto Rico on notice, tweeting that FEMA, the U.S. military and first responders can't stay there ...",2017-10-12
"7573","Reuters","Let Them Eat Paper Towels","President Donald Trump hinted that the U.S. will be pulling the Federal Emergency Management Agency (FEMA) out of Puerto Rico, but the agency has a ...",2017-10-12
"7574","WKYC-TV","Trump threat to abandon Puerto Rico recovery sparks a backlash","More than 80 percent of Puerto Rico is still in the dark, more than a third of its residents still have no clean drinking water, much of the island's infrastructure still ...",2017-10-12
"7575","Politico","Behind the story of covering Puerto Rico","The dire situation I just described is in Puerto Rico, not Iowa (which happens to have just about the same number of U.S. citizens). And my upbeat portrayal of ...",2017-10-12
"7576","CNN","US House approves disaster funds as Trump criticizes Puerto Rico","President Trump served notice Thursday that he may withdraw federal relief workers from Puerto Rico and blamed the island for its failing infrastructure, ...",2017-10-12
"7577","whyy","Lorain city councilman hopes to get more supplies to Puerto Rico","As President Trump Thursday suggested that he might pull the military and other federal agencies out of Puerto Rico — even though most residents still lack ...",2017-10-12
"7578","NOLA.com","Polls: Trump, government earn low marks for Puerto Rico hurricane ...","A couple walks by a damaged tree in the Hurricane Maria affected area of Old San Juan, Puerto Rico, October 12, 2017. REUTERS/Shannon Stapleton.",2017-10-12
"7579","Splinter (blog)","Source: Trump's Puerto Rico tweets were response to San Juan mayor","The Ohio National Guard has sent several soldiers, airman and equipment to Puerto Rico and the U.S. Virgin Islands already to help with hurricane relief.",2017-10-12
"7580","Palm Beach Post","Orchestra offers 'West Side Story' as fundraiser for Puerto Rico's ...","Donald Trump passed the first two natural-disaster tests of his young presidency, but Americans are giving him failing grades for his response in Puerto Rico.",2017-10-12
"7581","E! Online","Puerto Rico is ours, but Donald Trump isn't acting like it | Opinion","Washington (CNN) President Donald Trump's latest tweets regarding recovery efforts in Puerto Rico were a direct response to remarks made by San Juan Mayor ...",2017-10-12
"7582","Voice of America","The Puerto Rican Independence Movement Saw This Fiasco Coming","A member of the Puerto Rican National Guard delivers food and water brought via helicopter to victims of Hurricane Maria, to the San Lorenzo neighborhood of ...",2017-10-12
"7583","New York Times","Puerto Rico relief: Local restaurants, chefs plan various fundraisers","Fred Sanford had more respect for Puerto Ricans than Donald Trump does. When Julio Fuentes moved next door to Sanford & Son's South Central Los Angeles ...",2017-10-12
"7584","The Hill (blog)","Jennifer Aniston Donates $1 Million to Puerto Rico Hurricane Relief ...","“The hurricane as a natural phenomenon has unmasked the very unnatural causes of the situation in Puerto Rico,” Jose E. López tells me.",2017-10-12
"7585","The New Yorker","Puerto Ricans Leave for US Mainland After Storm","Clematis Street's favorite French bistro is hosting a special Puerto Rican-themed night Thursday to help those still reeling from Hurricane Maria's impact last ...",2017-10-12
"7586","Wall Street Journal","Puerto Rico, California, Facebook: Your Thursday Evening Briefing","Add Jennifer Anistonto the list of celebs who are making huge efforts to help the people of Puerto Rico. E! News has learned the actress has made a $500,000 ...",2017-10-12
"7587","RollingStone.com","69 Republicans vote against aid for Puerto Rico, other disaster sites","Lourdes Rodriguez left Puerto Rico after Hurricane Maria filled her home in the town of Vega Baja with mud. The mud damaged mattresses and other things in ...",2017-10-12
"7588","Business Insider","The Mayor of San Juan on Trump's “Big Mouth” and What Puerto ...","On Capitol Hill, the House approved a $36.5 billion aid package for hurricane and wildfire relief, even as President Trump warned Puerto Rico that federal troops ...",2017-10-12
"7589","USA TODAY","House Passes Disaster Relief, Puerto Rico Credit Bill","Legislation to provide $36.5 billion in aid for communities affected by recent wildfires and hurricanes, including Puerto Rico, secured widespread support in the ...",2017-10-12
"7590","Bloomberg","Congress Members Call Out Trump for 'Lamentable' Puerto Rico ...","Carmen Yulín Cruz, the mayor of San Juan, Puerto Rico, has earned international renown since Hurricane Maria for criticizing Donald Trump's lackadaisical ...",2017-10-12
"7591","BurlingtonFreePress.com","Hurricane Maria has made Puerto Rico's already dire economic ...","WASHINGTON—The House of Representatives on Thursday passed legislation that would provide $36.5 billion in disaster relief for victims of recent hurricanes ...",2017-10-12
"7592","NPR","The strange tale of a family freed from Afghanistan","Sgt. Kenneth McAnally surveys a section of a road that collapsed and continues to erode days after Hurricane Maria swept through Barranquitas, Puerto Rico.",2017-10-12
"7593","NPR","Puerto Rico's No-Conflict Governor Dodges Trump Tweet Again","Puerto Rico is America's drug factory. Most major pharmaceutical companies have facilities there. This includes Bristol Myers Squibb, Eli Lilly, GlaxoSmithKline, ...",2017-10-12
"7594","The Boston Globe","Six ways Vermonters can help Puerto Rico","Caitlan Coleman and her husband Joshua Boyle were finally freed five years after they were kidnapped in Afghanistan and held captive by a Taliban-linked ...",2017-10-12
"7595","NY1","Puerto Ricans More Concerned About Situation On Island Than ...","Hours after President Donald Trump warned on Twitter that federal forces shouldn't remain in Puerto Rico “forever,” Rossello spoke to reporters in San Juan and ...",2017-10-12
"7596","New York Daily News","Congressional Aid Could Help Puerto Rico Create Sustainable ...","Olga Mardach is collecting seeds in Vermont — to be planted 1,800 miles away. Mardach, who lives in Morrisville and has family in Puerto Rico, is leading a ...",2017-10-12
"7597","FiveThirtyEight","'To suggest that Puerto Rico is ready to pull federal workers out is ...","Puerto Ricans are more concerned about power and water shortages than President Trump's tweeted threat that U.S. military and FEMA personnel won't stay on ...",2017-10-12
"7598","Quartz","Former Yankee helps send off supplies to Puerto Rico","The U.S. House is expected to pass a $36 billion relief package including billions for Puerto Rico. Although Congress is not expected to revisit the island's $74 ...",2017-10-12
"7599","New York Post","Members of Congress call for investigation into underreporting in ...","Puerto Ricans across Massachusetts said they are frustrated and angry with President Trump's tweets last week that suggested that he might pull out federal ...",2017-10-12
"7600","Grist","The Media Really Started Paying Attention To Puerto Rico When ...","One-hundred-and-sixty thousand pounds of water, canned food, diapers and minor medical supplies are headed to Puerto Rico on a plane chartered by Major ...",2017-10-12
"7601","KSAT San Antonio","Puerto Ricans desperate for water are drinking from Superfund sites","Puerto Rico's death toll from Hurricane Maria could be substantially higher than the 45 fatalities reported by the government, experts said. Nearly 90% of Puerto ...",2017-10-12
"7602","Bloomberg","Desperate Puerto Ricans warned not to drink from toxic wells","Two weeks ago, a FiveThirtyEight analysis found that Puerto Rico had received far less media coverage immediately after Hurricane Maria than other U.S. ...",2017-10-12
"7603","Hartford Courant","Puerto Ricans might be drinking Superfund-polluted water, the EPA ...","More than three weeks since Hurricane Maria, more than a third of Puerto Ricans still don't have access to drinking water. So some are turning to wells at ...",2017-10-12
"7604","Washington Post","Trump lashes out at Puerto Rico as House weighs aid package","“There are reports of residents obtaining, or trying to obtain, drinking water from wells at hazardous waste 'Superfund' sites in Puerto Rico,” the agency said in a ...",2017-10-12
"7605","Fox News","Puerto Rico Needs 250000 Gallons of Diesel a Day to Pump Water","Three weeks after Hurricane Maria struck, 36 percent of Puerto Ricans — more than a million people — still lack access to clean water. That's a slight ...",2017-10-12
"7606","BBC News","Trump's Suggestion That Disaster Relief May End Angers Puerto ...","WASHINGTON (AP) - President Donald Trump lashed out at hurricane-devastated Puerto Rico on Thursday, insisting in tweets that the federal government can't ...",2017-10-12
"7607","Los Angeles Times","John Kelly's defense of Trump's threatening Puerto Rico tweets ...","Puerto Rico's water system is being run almost entirely off diesel-fueled generators. And once the Puerto Rico Aqueduct & Sewer Authority brings even more ...",2017-10-12
"7608","Washington Post","Repeal the Jones Act to speed Puerto Rico recovery","President Donald Trump's suggestion in an early-morning tweet that he might withdraw federal disaster relief from Puerto Rico has angered Hartford leaders ...",2017-10-12
"7609","U.S. News & World Report","What is Trump's plan for Puerto Rico?","Kelly was made to try to explain Trump's apparent threat Thursday to cut off funding to Puerto Rico's hurricane recovery effort. And Kelly explained that the tweets ...",2017-10-12
"7610","Forbes","House approves disaster funds for Puerto Rico, other hurricane-hit ...","An obscure century-old law is slowing Puerto Rico's recovery from the devastation of Hurricane Maria, forcing our nation to import more oil, and driving up prices ...",2017-10-12
"7611","CNN","Trump's tweets anger, but do not surprise, Puerto Ricans","President Donald Trump has been bellyaching about Puerto Rico's parlous finances, as the US territory struggles to regain its footing after Hurricane Maria.",2017-10-12
"7612","New York Daily News","Congress members demand to know the true death toll in Puerto Rico","Congress was on track to pass disaster funds for Puerto Rico after the House on Thursday approved a $36.5-billion package that also includes additional money ...",2017-10-12
"7613","NBCNews.com","Democrats Slam Trump for Posture on Puerto Rico Recovery","SAN JUAN, Puerto Rico — Jose Vazquez was listening to the radio this morning when the programming was interrupted by a special report. The exasperated ...",2017-10-12
"7614","Fox News","Amid Its Own Hurricane Recovery, Bacardi Looks To Aid Puerto Rico's","Democrats on Thursday hammered President Donald Trump for his latest remarks on the Puerto Rico recovery, accusing him of leaving fellow Americans behind ...",2017-10-12
"7615","MLB.com","Pitbull sees Trump's 'true colors' on Puerto Rico relief","Catano, Puerto Rico, September 2017 -- The entrance to the Bacardi distillery that produces 80% of the world's best-selling rum, as seen after Hurricane Maria.",2017-10-12
"7616","Markets Insider","Yankees, Bernie Williams stepping up to provide aid to hurricane ...","The rapper's criticism comes just before Trump posted a tweet on Thursday, warning federal aid for Puerto Rico won't last ""forever."" The U.S House of ...",2017-10-12
"7617","CNN","When Did We Stop Being America?' Puerto Ricans Angry, Dismayed ...","President Donald Trump might be striking out with hurricane relief efforts in Puerto Rico, but this former Yankee isn't. Bernie Williams, a Puerto Rico native, ...",2017-10-12
"7618","Austin American-Statesman","FBI in Puerto Rico investigating if corrupt local officials are ...","President Donald Trump's Twitter comments on Thursday threatening to pull federal resources from Puerto Rico as the U.S. territory grapples with the lack of ...",2017-10-12
"7619","Government Technology","MLB charters cargo plane for PR relief aid","FBI agents in Puerto Rico have been receiving calls from ""across the island"" with residents complaining local officials are ""withholding"" or ""mishandling"" critical ...",2017-10-12
"7620","ABC News","A former energy official for Obama explains why Tesla has the best ...","NEW YORK -- As he watched relief supplies for Puerto Rico being loaded onto a FedEx cargo plane on a tarmac at JFK Airport on Thursday morning, Bernie ...",2017-10-12
"7621","CNBC","FEMA actually can stay in Puerto Rico indefinitely","""I really would just like to see them use this opportunity,"" Hurlbut said. ""Puerto Rico could be a real shining example of a modern electricity system."" ...",2017-10-12
"7622","Christian Science Monitor","Local firefighter helps Puerto Rico","(CNN) President Donald Trump tweeted that first responders can't stay in Puerto Rico ""forever,"" but if history is any indicator, they can definitely stay there for a ...",2017-10-12
